,PESR012 - Relatorio Geral de Pessoa,,,,,,,,,,,,,,
3105,VM INDUSTRIAL LTDA,J,"R BACAIRIS,336",SAO PAULO / SP,551197928748,42.643.615/0001-86,131542872118,,VILA FORMOSA,,3357050,Ativo / Ativo,nfe@vmindustrial.com.br,,
3106,PANORAMA MOVEIS ONLINE LTDA,J,"AV NOSSA SENHORA DA PENHA,1495",VITORIA / ES,4733573005,20.014.303/0002-51,ISENTO,,SANTA LUCIA,SALA  504 AT-K11 COWORKINGEDIF  CORPORATE CENTER,29056905,Ativo / Ativo,sac@panoramamoveis.com.br,,
3107,MOVEIS DORIPEL LTDA,J,"AV JULIO VARZIN,1600",LAGOA VERMELHA / RS,5433586500,90.608.084/0001-33,710029861,,INDUSTRIAL III,,95300000,Ativo / Ativo,naotem@gmail.com,,
3108,CASA DAS LONAS & SACARIA LTDA,J,"R PADRE LIBERIO,902",PARA DE MINAS / MG,3732315484,06.098.179/0001-48,4712742070008,,OZANAN,,35660180,Ativo / Ativo,ascontri@ascontri.com.br,,
3109,SUPERMERCADO MARTINS E FILHO LTDA,J,"RUA MELO GUIMARAES,321",PARA DE MINAS / MG,3732360600,20.134.508/0001-90,4711510540047,,NOSSA SENHORA DE FATIMA,,35660970,Ativo / Ativo,gisele@supermartins.com.br,,
3110,AUMA COMERCIO DE CONFECCOES LTDA,J,"R GUMERCINDO SARAIVA,82",SAO PAULO / SP,11930789179,64.744.147/0001-79,148588816118,,JARDIM EUROPA,SLJ   1 ANDAR,1449070,Ativo / Ativo,paula.angeloni@touchebebe.com.br,,
3111,COUROQUIMICA COUROS E ACAB LTDA EM RECUPER JUDICI,J,"AV ALBERTO PULICANO,3730",FRANCA / SP,1637111499,50.719.061/0001-81,310053173119,,DISTRITI INDUSTRIAL,,14406100,Ativo / Inativo,rosangela.calado@raphaelsteffens.com.br,,
3112,MARIA CELIA DA SILVA BARBOSA,J,"RUA MAGALHAES BARATA,389",SAO MIGUEL DO GUAMA / PA,91950458885,48.534.021/0001-13,158651375,,PERPETUO SOCORRO,,68660000,Ativo / Ativo,helotecidos@yahoo.com.br,,
3113,KAMARIM STORE LTDA,J,"R DOS POTIGUARES,438",PATOS DE MINAS / MG,3438211440,29.242.183/0001-33,30928750019,,CARAMURU,,38701382,Ativo / Ativo,contabil3bs@terra.com.br,,
3115,AZON CAMISARIA LTDA,J,"R INDEPENDENCIA,9",CARUARU / PE,81989669338,46.094.276/0001-87,103555455,,KENNEDY,,55036180,Ativo / Inativo,jnetonevescont@gmail.com,,
3116,TECIDOS E RETALHOS CAPIBARIBE LTDA,J,"R JOAQUIM NABUCO,193",SANTA CRUZ DO CAPIBARIBE / PE,8137313622,07.608.422/0001-93,33223009,,CRUZ ALTA,,55195009,Ativo / Ativo,michele@trcapibaribe.com.br,,
3117,SAMUEL FRITZ LTDA,J,"R AZAMBUJA,353",BRUSQUE / SC,4733543338,10.210.184/0004-10,258797444,,AZAMBUJA,SALA 02 VALE CENTER,88353460,Ativo / Ativo,adv.fritz@gmail.com,,
3118,LINEA TESSILE COM DE ROUP E ACESS DO VEST LT,J,"R JUSTO AZAMBUJA,204",SAO PAULO / SP,1132082563,44.298.697/0001-02,133523379116,,CAMBUCI,SALA  01,1518000,Ativo / Ativo,compras3@shioo.com.br,,
3120,CRISTIANE KASSIM ANTUNES,J,"AV LINO JOSE DE SEIXAS,1143",SAO JOSE DO RIO PRETO / SP,17988413476,18.019.579/0001-08,647955331118,,JARDIM DOS SEIXAS,,15061060,Ativo / Inativo,isabellasilv390@gmail.com,,
3121,HAPVIDA ASSISTENCIA MEDICA S.A.,J,"AV HERACLITO GRACA,406",FORTALEZA / CE,8540201685,63.554.067/0001-98,68943539,,CENTRO,2 ANDAR,60140061,Ativo / Ativo,vanessacc@hapvida.com.br,,
3122,LUCAS DE MIRANDA 05604487678,J,"RUA ARARIBA,24",PARA DE MINAS / MG,37999177244,48.530.769/0001-48,44792960029,,DA PROVIDENCIA,,35660970,Ativo / Ativo,contato@calcularesc.com.br,,
3123,ELENIVALDO DOS SANTOS SILVA 09625486429,J,"RUA SEBASTIAO MONTEIRO DA SILVA,85",RIACHO DAS ALMAS / PE,81982360387,37.790.338/0001-02,89845226,,CENTRO,CASA,55120000,Ativo / Inativo,elenivaldocrist@hotmail.com,,
3124,COUROQUIMICA COUR E ACAB LTDA EM RECUPERACAO JUDICI,J,"AV ALBERTO PULICANO,3702",FRANCA / SP,1637206110,50.719.061/0009-39,310560206112,,DISTRITO INDUSTRIAL ANTONIO DELLA TORRE,,14406100,Ativo / Ativo,andreluisfernandes@terra.com.br,,
3125,FABIO DUARTE MARTINS,J,"R ARRUDA CAMARA,251",CAMPINA GRANDE / PB,8333412683,41.212.861/0001-10,161015310,,SANTO ANTONIO,TERREO.,58406020,Ativo / Inativo,sparkle@sparklefashion.com.br,,
3126,ISLAND R.N BEACH IND E COM DE CONFEC LTDA,J,"R ORIENTE,381",SAO PAULO / SP,1126935141,48.689.408/0001-49,138229637116,,BRAS,LETRA A,3016001,Ativo / Ativo,aviamentos@rikwi.com.br,,
3127,BLEIZER INDUSTRIA DE ROUPAS LTDA,J,"R LUISA CRAPSI ORSI,67",SAO PAULO / SP,1137350319,03.578.285/0001-30,115660581115,,VILA ALBANO,,5543000,Ativo / Ativo,bleizerltda@uol.com.br,,
3128,ELUCKY PRESENTES LTDA,J,"R BARAO DE DUPRAT,223",SAO PAULO / SP,1134635161,44.903.444/0001-02,133980200113,,CENTRO,LOJA T-45B,1023001,Ativo / Ativo,eluckypresentes@gmail.com,,
3129,DISTRIBUIDORA FITO LTDA,J,"AL TOCANTINS,630",BARUERI / SP,1145656545,42.187.700/0001-87,121500519116,,ALPHAVILLE INDUSTRIAL,,6455020,Ativo / Ativo,jaqueline@grupopdl.com,,
3130,EX TEXTIL LTDA,J,"R MADRE DE DEUS,835",SAO PAULO / SP,1143957650,46.727.719/0001-20,136248068110,,MOOCA,,3119001,Ativo / Bloqueado,fiscal@exclusivatextil.com.br,,
3132,P.R LABEL  COMERCIO DE ROUPAS LTDA,J,"AV ELIAS YAZBEK,1607",EMBU DAS ARTES / SP,1142415943,25.464.872/0001-31,298225930115,,TINGIDOR,PISO TERREO               SUPERIOR,6803000,Ativo / Ativo,prlabeloutlet@gmail.com,,
3133,GUSTAVO TEODORO MAIRINQUES,F,"R HELCIO CORREA,353",BELO HORIZONTE / MG,31992409666,078.998.486-52,MG12969596,,HAVAI,,30555150,Inativo / Inativo,gustavo.mairinques@hotmail.com,,
3135,PROLMAN ART DO VEST E ACESSORIOS LTDA,J,"R ORIENTE,498",SAO PAULO / SP,1199999999,04.795.848/0001-05,116281830112,,BRAS,LOJA  33,3016000,Ativo / Inativo,prolman.gravatas@hotmail.com,,
3136,OFFICE BLUE CONFECCOES DO VESTUARIO LTDA,J,"R DJ 042  ESTRADA GERAL DA CRISTALINA,698",BRUSQUE / SC,4733510794,02.051.130/0001-89,253519462,,DOM JOAQUIM URBANO,GALPAO02,88359226,Ativo / Inativo,pedidos@clegitamjeans.com.br,,
3137,FABIO DA SILVA PIMENTA,F,"R ARAGUAIA,150",RIO DE JANEIRO / RJ,21964459912,021.013.557-36,93.061.380,,FREGUESIA (JACAREPAGUA),APTO 302,22745270,Ativo / Ativo,pimenta.fabiocorporativo@gmail.com,,
3139,MARLEN S CONFECCOES LTDA,J,"RUA CELINA LOPES DE ALMEIDA,104",DESCOBERTO / MG,3232651659,02.460.355/0001-99,2137387800092,,INDUSTRIAL,FUNDOS,36690000,Ativo / Inativo,aloisio.martins@marlens.com.br,,
3140,TRUE MEN IND E COM DE ROUPAS LTDA,J,"CPO SAO DE CRISTOVAO,44",RIO DE JANEIRO / RJ,2138169922,05.196.517/0027-50,12039093,,SAO CRISTOVAO,PARTE TERREA,20921440,Ativo / Ativo,thayssa.peres@aviator.com.com.br,,
3141,CERAMICA BEATRIZ LTDA,J,"R PADRE ZANOR,550",PARA DE MINAS / MG,3732326428,18.672.659/0001-50,4711655310050,,JARDIM BEATRIZ,,35661266,Ativo / Ativo,ceramicabeatriz@gmail.com,,
3143,CAIQUE GUSTAVO SENRA DA SILVA,J,"R ALVARO LINS,105",RIO DE JANEIRO / RJ,21985731594,35.407.465/0001-46,ISENTO,,CAMPO GRANDE,,23016240,Ativo / Inativo,caiquesenra@hotmail.com,,
3144,EDB2 GROUP INDUSTRIA DE MODA LTDA,J,"RUA TIRADENTES,630",AMPERE / PR,4699172662,37.031.935/0001-45,9084664038,,SANTA PAULINA,,85640000,Ativo / Ativo,baggioedemar@gmail.com,,
3145,FERNANDO MALUHY CIA LTDA,J,"R JORGE AZEM,30",SAO PAULO / SP,1133252015,60.458.825/0002-67,110119934110,,CENTRO,,1022030,Ativo / Ativo,luis@fernandomaluhy.com.br,,
3146,BRALU CONFECCOES LTDA,J,"ROD JORGE LACERDA,3885",GASPAR / SC,4733971570,17.085.451/0001-71,256875219,,POCO GRANDE,SALA  01,89115285,Ativo / Inativo,financeiro@hlerinha.com.br,,
3147,F A DE MELO UTILIDADES LTDA,J,"EST JORGE VITOR VIEIRA,174",JUQUITIBA / SP,1146821092,47.435.160/0001-27,410046210110,,CENTRO,,6951995,Ativo / Inativo,chicoralmoda@gmail.com,,
3148,R E F INDUSTRIA TEXTIL LTDA,J,"RUA 28 DE AGOSTO,504",GUARAMIRIM / SC,4733735060,22.010.142/0001-72,257592130,,CENTRO,AP 02,89270000,Ativo / Inativo,ricardo@teddycollor.com.br,,
3149,UNIFORMES GERAIS LTDA,J,"RUA ADERBAL RAMOS DA SILVA,110",ASCURRA / SC,4733830209,02.777.319/0001-53,253790360,,CENTRO,SLJ,89138000,Ativo / Inativo,ugerais@tpa.com.br,,
3150,M VINICIUS GOIS GALVAO,J,"RUA VEREADOR PEDRO PETERSON,366",LOANDA / PR,44998813220,45.783.589/0001-80,9093943845,,ALTO DA GLORIA,,87900000,Ativo / Ativo,tfdelfuzzi@outlook.com,,
3151,W-8 TEXTIL LTDA,J,"R BAHIA,8567",BLUMENAU / SC,4733818008,00.926.223/0001-84,253216877,,PASSO MANSO,GALPAO1-2A 2B E 3 SUB-SOLO,89032525,Ativo / Ativo,nfe@w8textil.com.br,,
3152,PAMPA SUL BRASIL IND DE CONF LTDA,J,"R LINHA TRITON,51",FRANCISCO BELTRAO / PR,4635272570,28.026.792/0001-92,9077106704,,SADIA,SL A LT 21 QD 58-FB CJ IN,85601970,Ativo / Bloqueado,evandro@pampasul.com,,
3153,PDL COMERCIO E REPRESENTACAO LTDA,J,"AL TOCANTINS,630",BARUERI / SP,11992548647,26.108.880/0001-08,206770811115,,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL,GALPAO 06,6455020,Ativo / Ativo,legalizacao03@guimaraesaranha.com.br,,
3154,R N ARAUJO CONFECCOES LTDA,J,"AV CRISTOVAO COLOMBO DE FREITAS,1512",JARAGUA / GO,6298476213,48.952.585/0001-76,109940202,,VILA COLOMBO,QUADRA 15  LOTE 12,76330000,Ativo / Ativo,royaltyjeansdeluxe@gmail.com,,
3155,COMERCIO DE UTILIDADES ABC LTDA,J,"R FRANCISCO MARQUES,95",SANTO ANDRE / SP,11977154834,37.137.979/0001-54,121189966112,,JARDIM LAS VEGAS,,9182060,Ativo / Ativo,patrickdeoliva85@gmail.com,,
3156,FORTUNATO INDUSTRIA E COMERCIO DO VESTUARIO LTDA,J,"R JOSE MARTINS VALENTE,1112",SARANDI / PR,4432881643,46.775.660/0001-45,9095077746,,PARQUE INDUSTRIAL IV,SALA  02,87111677,Ativo / Ativo,igor@co2menswear.com.br,,
3159,LSB INDUSTRIA DE CONFECCOES LTDA,J,"RUA TIRADENTES,659",AMPERE / PR,4626000035,11.368.871/0001-89,9050370809,,SANTA PAULINA,,85640000,Ativo / Inativo,lsb.nfe@gmail.com,,
3160,JUCINEI CRISTOVAO SCHINEIDER,J,"R PEDRO CARDEAL,122",BRUSQUE / SC,4732529260,21.089.660/0001-60,257498192,,CEDRINHO,SALA 01,88358450,Ativo / Ativo,santos.con@hotmail.com,,
3161,JOSE ADEMIR VASCONCELOS SOUSA,J,"R CORONEL MATOS DOURADO,667",FORTALEZA / CE,8587695971,97.528.017/0001-58,65738748,,HENRIQUE JORGE,CASA  C,60521063,Ativo / Inativo,wolfboyoficial1303@gmail.com,,
3163,ASS CULT  RECREATIVA E CARNAV MALE DEBALE,J,"AV ALTO DO ABAETE,0",SALVADOR / BA,7188255580,32.699.860/0001-51,ISENTO,,ITAPOAN,TERREO,40301155,Ativo / Inativo,claudio.male@gmail.com,,
3164,GIGAMINAS COMERCIO DE PRODUTOS DE INFORMATICA LTDA,J,"R TENENTE-CORONEL ROBERTO,235",PARA DE MINAS / MG,3732321018,12.251.225/0001-08,16317880069,,CENTRO,,35660011,Ativo / Ativo,contato@gigaminas.com.br,,
3165,MULTIVAREJO ES LTDA,J,"R IVAN NEIVA NEVES,611",VILA VELHA / ES,27998866142,40.315.077/0001-75,83725717,,RESIDENCIAL COQUEIRAL,SALA 209,29102850,Ativo / Ativo,multivarejoes@gmail.com,,
3166,YONEDA FERRAMENTAS E VARIEDADES LTDA,J,"V ANHANGERA,",SAO PAULO / SP,6299537125,21.097.436/0003-82,136808277112,,JARDIM JARAGUA,KM 25.5 P. LATERAL 130 SETOR PARTE C592,5276950,Ativo / Ativo,fermaquinasgyn@gmail.com,,
3167,CARLOS DONIZETE DA SILVA FILHO 03415669696,J,"R IZABEL DURAN GASPARO,103",SAO JOSE DO RIO PRETO / SP,17981535303,27.832.871/0001-28,647883010110,,SETSUL,,15081594,Ativo / Ativo,carlosdfilho@hotmail.com,,
3168,JULIANO DE FREITAS LEMOS 06755982652,J,"R JOSE DE ALENCAR,470",DIVINOPOLIS / MG,3732220335,19.428.387/0001-00,22798850061,,CATALAO,,35501224,Ativo / Inativo,jartestamparia@gmail.com,,
3169,MEU BEM REPRESENTACOES LTDA,J,"CPO SAO DE CRISTOVAO,300",RIO DE JANEIRO / RJ,21975121477,46.124.702/0001-88,ISENTO,,SAO CRISTOVAO,APT 504,20921440,Ativo / Ativo,ruritextil@gmail.com,,
3171,MOURA E LOPES COMPRESSORES LTDA,J,"R ACESITA,585",SETE LAGOAS / MG,31998021588,35.098.197/0001-28,35629220020,,SAO DIMAS,,35700224,Ativo / Ativo,mgcompressores7l@gmail.com,,
3172,PONTAL FASHION CONFECCOES E COMERCIO DE ROUPAS LTDA,J,"R DOUTOR PAULO FROES MACHADO,15",NOVA IGUACU / RJ,2127516981,30.586.349/0001-18,11157807,,CENTRO,,26255170,Ativo / Inativo,portalfashion1@gmail.com,,
3173,ATELIER TECIDOS LTDA,J,"AV SAO PAULO,298",GOIANIA / GO,6281830217,16.841.970/0001-50,105445592,,SET CAMPINAS,QUADRA 78   LOTE  06                  PAVMTO1 E 2,74510030,Ativo / Inativo,tecidosatelier@gmail.com,,
3174,MAQ LAR REFRIGERACAO LTDA,J,"R MATO GROSSO,224",BELO HORIZONTE / MG,3132706565,04.286.079/0001-10,5781140800071,,BARRO PRETO,,30190080,Ativo / Ativo,contabilidade@friopecas.com.br,,
3175,MASTER COMERCIO DE MOVEIS LTDA,J,"R PRESIDENTE COSTA PINTO,257",SAO PAULO / SP,1120634452,44.323.169/0001-58,133542044116,,MOOCA,,3108030,Ativo / Ativo,gerencia@multiaco.com.br,,
3176,BRANDS INDUSTRIA E COMERCIO LTDA,J,"R DOLORES BIONDI,291",MONTES CLAROS / MG,3832146600,26.866.031/0001-13,28931490038,,MAJOR PRATES,,39403197,Ativo / Inativo,blackciabh@yahoo.com.br,,
3177,HERO S CONFECCOES LTDA,J,"R LA PLATA (CONJ.RES.ADALGISA NUNES),84",CARUARU / PE,81998018019,18.314.250/0001-61,53415744,,CIDADE ALTA,TERREO,55031418,Ativo / Ativo,herosconfeccoes@gmail.com,,
3178,DLT CONFECCOES LTDA,J,"R OSVALDO CRUZ,2533",FORTALEZA / CE,8532275719,05.848.002/0011-20,67163483,,DIONISIO TORRES,,60125151,Ativo / Ativo,industrial@estilodlt.com.br,,
3179,LECHIC DIGITAL LTDA,J,"AV DAS AMERICAS,500",RIO DE JANEIRO / RJ,2172567977,46.207.246/0001-30,12464789,,BARRA DA TIJUCA,BLC 23 LOJ 115,22640904,Ativo / Ativo,nunesirs@gmail.com,,
3180,FBR CONFECCOES LTDA,J,"RUA BR 470,3617",APIUNA / SC,4733531457,09.544.299/0001-10,255609205,,RIBEIRAO SAO LUIZ,KM    96,89135000,Ativo / Ativo,financeiro2@fbrtextil.com.br,,
3182,DOUGLAS NERY CORNELIO E SILVA REPRESENTACOES LTDA,J,"R ALMIRANTE BARROSO,375",DIVINOPOLIS / MG,3799099847,10.852.596/0001-01,ISENTO,,CATALAO,,35501219,Ativo / Ativo,douglasnery10@yahoo.com.br,,
3183,ROBERTO ANTONIO DE LIMA BARROS,F,"R JOSE BONIFACIO - DE 436/437 AO FIM,1141",RECIFE / PE,81992676976,334.548.764-00,1484252,,TORRE,AP 1303- B,50710001,Ativo / Bloqueado,rrreptextilpe@gmail.com,,
3184,MARCIA E SANDRA COMERCIO E REPRESENTACOES LTDA,J,"R DO ACRE,195",PARA DE MINAS / MG,3732321212,65.327.074/0001-82,4717522440048,,SAO JOSE,,35660106,Ativo / Ativo,massima@massima.com.br,,
3185,OVER SURF INDUSTRIA TEXTIL LTDA,J,"RUA BRUSQUE,1000",GUABIRUBA / SC,4730520408,14.208.641/0001-40,256503621,,CENTRO,FUNDOS,88360000,Ativo / Inativo,gerencia@oversurf.com.br,,
3186,VIVIANE FREIRE BRAND LTDA,J,"RUA A,45",SAO JOSE DE RIBAMAR / MA,9881143244,41.404.991/0001-55,126906939,,COHATRAC,LOTE  VILLAGIO ITAGUARA   QUADRA02                  LOJA  05,65110000,Ativo / Inativo,vivianefreirebrand@gmail.com,,
3187,J FERRAZ CONFECCAO LTDA,J,"R KARL RICHTER,58",SAO PAULO / SP,1123617400,44.521.614/0001-94,133708848110,,VILA SUZANA,CONJ  64,5709030,Ativo / Ativo,gustavo.mairinques@hotmail.com,,
3188,FABIANO N DE OLIVEIRA,J,"R TALMUD THORA,153",SAO PAULO / SP,1150960126,21.661.440/0001-60,141579324113,,BOM RETIRO,,1126020,Ativo / Ativo,gustavo.mairinques@hotmail.com,,
3189,CIA BASIC CONFECCOES LTDA,J,"R WILLY ODORIZZI,175",RIO DO SUL / SC,4791880161,14.143.007/0001-77,256494029,,VALADA SAO PAULO,,89162166,Ativo / Inativo,compras@ciabasic.com.br,,
3190,CNPJ LTDA,J,"R SC13,462",GOIANIA / GO,6232917872,45.332.925/0001-78,108983943,,JD COLORADO,QUADRA26                  LOTE  09,74474016,Ativo / Ativo,dclassecamisas@hotmail.com,,
3191,MARCIO RODRIGO BONFANTE 36205905833,J,"RUA ANTONIO JOSE DE OLIVEIRA,120",GARCA / SP,14981247570,33.081.978/0001-84,315070030115,,JARDIM BRASIL,,17400000,Ativo / Ativo,marciaun@hotmail.com,,
3192,JANAINA DIAS DA CONCEICAO,J,"R EMILIA MARENGO,784",SAO PAULO / SP,11991177363,07.222.179/0001-70,144157226112,,VILA REGENTE FEIJO,,3336000,Ativo / Ativo,contato@tatoservicos.com.br,,
3193,GIROLEDS COMERCIO DE ELETRONICOS LTDA,J,"R SAGITARIUS,456",CAXIAS DO SUL / RS,54991572325,43.460.479/0001-51,290686644,,CRUZEIRO,,95074360,Ativo / Ativo,contato@giroleds.com.br,,
3194,POPDATA SOFTWARE E CONSULTORIA LTDA,J,"RUA LEVI JOSE DA SILVA,356",PARA DE MINAS / MG,3732335600,07.390.623/0001-67,4523414190036,,DA PROVIDENCIA,,35660970,Ativo / Ativo,evandro@evandrocontabilidade.com.br,,
3195,DEGRAUS TEXTIL LTDA,J,"R SANTA LUZIA,0",GOIANIA / GO,6281285412,45.494.594/0001-72,109022874,,SET CAMPINAS,QUADRA30                  LOTE  06                  SALA  01,74525040,Ativo / Ativo,degraustextil@outlook.com,,
3196,CAMEASY CONFECCOES LTDA,J,"R DOS TABAIARES,72",BELO HORIZONTE / MG,3132644336,39.347.039/0001-15,38616460055,,FLORESTA,,30150040,Ativo / Ativo,contato@cameasy.com.br,,
3198,N E F MENSWEAR LTDA,J,"RUA ADELINO AMERICO DE AZEVEDO,235",PORANGATU / GO,6233572164,48.821.067/0001-13,109903188,,SETOR LESTE,QUADRA31                  LOTE  P-13,76550000,Ativo / Inativo,exatauruacu@uol.com.br,,
3199,CHRISTIANE FERNANDES MEDEIROS,J,"R JOAQUIM JOSE,1465",CONTAGEM / MG,31985567281,49.159.237/0001-09,ISENTO,,FONTE GRANDE,BLOCO 14 APTO 102,32013390,Ativo / Ativo,chrisfcunha@gmail.com,,
3200,BARCHE COMERCIO DE ROUPAS LTDA,J,"R MARIA DELUNARDO TRANCOSO,98",SERRA / ES,27999875662,30.123.502/0001-70,83474285,,DE FATIMA,,29160771,Ativo / Inativo,produto@barche.com.br,,
3201,LUZIA TESTA DE ARAUJO 07110263606,J,"RUA RUA JOSE CARNEIRO DA SILVA,28",LARANJAL / MG,3299276062,31.357.125/0001-05,32639340093,,CENTRO,LOJA A E B,36760000,Ativo / Ativo,clientes.consultec@hotmail.com,,
3202,V.G. FOLIENI CONFECCOES E COMERCIO DE ROUPAS LTDA,J,"R ITINGUCU,1772",SAO PAULO / SP,1120230481,37.931.575/0001-38,129386422112,,VILA RE,SLJ   01,3658001,Ativo / Inativo,vendas3@vguniformes.com.br,,
3203,IB  IND DE  DIST DE VESTUARIO LTDA,J,"AL ARAGUAIA,341",BARUERI / SP,1141914022,48.279.225/0001-55,206818489110,,ALPHAVILLE INDUSTRIAL,ANDAR 1 ANDAR,6455000,Ativo / Inativo,michele@mnrepresentacao.com.br,,
3204,TEODORAKIS LTDA,J,"RUA VISCONDE DO RIO BRANCO,1922",BRAGANCA / PA,9134251570,83.770.099/0001-38,151778191,,CENTRO,TERREO,68600000,Ativo / Ativo,teodorakistecidos@gmail.com,,
3208,ANA MARIA DA SILVA COSTA,J,"R LETICIA CARLOS ROCHA,471",SANTA CRUZ DO CAPIBARIBE / PE,8199057428,02.715.995/0001-00,25192833,,DONA DOM,,55192560,Ativo / Ativo,anamariascosta0907@gmail.com,,
3209,M.F. LOGISTICA E TRANSPORTES LTDA.,J,"R SANTA VIRGINIA,647",SAO PAULO / SP,1135304480,11.153.364/0001-28,144069771116,,TATUAPE,,3084000,Ativo / Ativo,adm.mflogistica@bol.com.br,,
3210,COMERCIAL ELETRONICA WILANG LTDA,J,"R JUNDIAI,281",SAO BERNARDO DO CAMPO / SP,1143307099,05.459.280/0001-14,635932340115,,VILA BAETA NEVES,SALA 02,9751090,Ativo / Ativo,legalizacao@lunardi.com.br,,
3211,RESISPAR COMERCIO DE MATERIAIS ELETRICOS LTDA,J,"R SAO PAULO,1219",RIBEIRAO PRETO / SP,1632348116,29.202.623/0001-29,797337270118,,CAMPOS ELISEOS,,14085010,Ativo / Ativo,comercial@resispar.com.br,,
3212,CONTHEY PRESENTES E DECORACOES LTDA,J,"R JOAO SERRANO,230",SAO PAULO / SP,15997811408,96.280.292/0001-32,133754158117,,SITIO DO MORRO,,2551060,Ativo / Ativo,joseph@conthey.com.br,,
3213,JOAO PAULO DE TOLEDO INFORMATICA,J,"AV PREFEITO EDNE JOSE PIFFER,949",BEBEDOURO / SP,1733436050,29.152.621/0001-72,210106781117,,RESIDENCIAL CENTENARIO,,14711538,Ativo / Ativo,santoscontabil.bebedouro@gmail.com,,
3215,LEANDRO LUIZ LUNKES,J,"RUA GETULIO VARGAS,1465",SAO DOMINGOS / SC,4934430302,09.007.128/0001-51,255455780,,ARI BORTOLI,,89835000,Ativo / Ativo,jhordano@jhordano.com.br,,
3216,LOJAS MARLY LTDA,J,"R FREI STANISLAU SCHAETTE,921",BLUMENAU / SC,4733251672,82.112.764/0001-33,252066464,,VILA NOVA,,89037003,Ativo / Inativo,nfe@lojasmarly.com.br,,
3218,KIKO CONFECCOES LTDA,J,"R JACOB JUNKES,475",GASPAR / SC,4733327048,03.850.692/0001-55,254082335,,SANTA TEREZINHA,,89114198,Ativo / Inativo,compras@kikoekika.com.br,,
3219,FL2 MENSWEAR LTDA,J,"RUA TOCANTINS ESQ C/ RUA BAHIA,0",URUACU / GO,6233572164,49.645.183/0001-91,200122436,,CENTRO,QUADRA19                  LOTE  17/18/63            MZNINO01,76400000,Ativo / Ativo,exatauruacu@uol.com.br,,
3220,L. DE F. C. CARSONI CONFECCOES,J,"AV CONSTITUICAO,1228",SAO JOSE DO RIO PRETO / SP,1732226531,09.126.101/0001-88,647515155119,,BOA VISTA,,15025120,Ativo / Inativo,geskina@hotmail.com,,
3221,ANDRE ALEXANDRE COCENTINO SOBRAL CORREIA,J,"R SUICA,191",CARUARU / PE,8188441875,29.361.476/0001-30,75238900,,UNIVERSITARIO,,55016630,Ativo / Inativo,andre_cocentieno@hotmail.com,,
3222,FRANCISCO GERSON DA SILVA MOURA 02564690327,J,"R CIRANDINHA,5",BELO HORIZONTE / MG,3191636527,35.501.240/0001-54,35968160063,,FLORAMAR,,31742008,Ativo / Ativo,fg@instala-tudo.com,,
3223,SCA COMERCIO VAREJISTA LTDA,J,"RUA HERMINIO CASTELO BRANCO,534",ESPERANTINA / PI,8633831243,01.492.394/0001-05,194029263,,CENTRO,,64180000,Ativo / Inativo,financeiro.scacomercio@gmail.com,,
3224,H DE A C DOS SANTOS,J,"R 18 B (UNIDADE 105) 8,0",SAO LUIS / MA,98988204203,11.809.850/0001-51,123303400,,CIDADE OPERARIA,,65058461,Ativo / Inativo,haymeeesantos@hotmail.com,,
3225,STR ECOM COMERCIO VAREJISTA DE PRODUTOS EM GERAIS LTDA,J,"R TARAUACA,73",GUARULHOS / SP,11959743101,42.414.701/0001-17,127400640119,,JARDIM CUMBICA,,7240180,Ativo / Ativo,stefanyramalhoa@gmail.com,,
3226,ALC PRODUTOS DE LIMPEZA LTDA,J,"PC GALBA VELOSO,121",PARA DE MINAS / MG,3732316383,05.884.102/0001-30,4712585040000,,CENTRO,,35660003,Ativo / Ativo,varejo@limpran.com.br,,
3227,R.D QUEIROZ & CIA LTDA,J,"AV PADRE FRANCISCO SALES COLTURATO,1555",ARARAQUARA / SP,16993838363,26.793.096/0001-86,181273839118,,CENTRO,,14801250,Ativo / Ativo,contato@zaviconassessoria.com.br,,
3228,ARCATEX IND COM  E SERV DE CONFEC LTDA,J,"ROD BR 101 KM 101,0",CONDE / PB,83999990185,33.252.084/0001-00,163378690,,DISTRITO INDUSTRIAL,GALPAO118                 COND  COND CLIP LOGIST IND,58322900,Ativo / Ativo,financeiro@arcatex.com.br,,
3229,P19 ART ESPORTIVA LTDA,J,"R DOUTOR LUIZ GUIMARAES,89",NOVA IGUACU / RJ,3232129638,33.265.260/0001-48,12563680,,CENTRO,,26210022,Ativo / Bloqueado,dariojose.comercio@gmail.com,,
3231,DK1 CONFECCOES LTDA,J,"R YARA,310",DIVINOPOLIS / MG,3788089193,37.501.663/0001-08,37615590019,,DISTRITO INDUSTRIAL CORONEL JOVELINO RABELO,,35502289,Ativo / Ativo,nfe@screen.com.br,,
3232,CONFECCOES DILA LTDA,J,"RUA GUILHERME TOMELIN,3517",GUARAMIRIM / SC,4733730145,79.254.991/0001-99,251208443,,CAIXA D AGUA,,89270000,Ativo / Ativo,nfe@dila.ind.br,,
3233,ROD-KLAF CARRINHOS E ACESSORIOS LTDA,J,"R TAMOIOS,924",BELO HORIZONTE / MG,3132715580,02.807.255/0001-96,629892370081,,CENTRO,,30120050,Ativo / Ativo,contafil@bol.com.br,,
